,True min,Feature Range
0,3.0000100135803223,26119.30663061142
1,-5.112640380859375,10.229083061218262
2,-3.1415891647338867,6.283179521560669
3,-5.394796517066425e-06,975.077520043234
4,0.0,2015.29443359375
5,0.0,3238.15625
6,0.0,76651.1171875
7,0.0,1061.129150390625
8,0.0,352.2437744140625
9,0.0,11284.2294921875
10,0.0,688.840576171875
11,0.0,135.0
12,0.0,12.0
13,0.0,58.0
14,0.0,3.0
15,0.0,4.0
16,0.0,27.0
17,0.0,19.0
18,0.0,1061.129150390625
19,0.0,352.2437744140625
20,0.0,76651.1171875
21,0.0,135.0
22,0.0,63.0
